payment_id,customer_id,order_id,amount,status,failure_reason,transaction_type,timestamp
pay_demo_0001,CUST002,ORD1001,899,FAILED,bank_declined,payment,2026-08-19T07:05:40.863887
pay_demo_0002,CUST006,ORD1002,25000,FAILED,insufficient_funds,payment,2026-08-20T23:05:40.863887
pay_demo_0003,CUST008,ORD1003,18000,FAILED,insufficient_funds,payment,2026-08-16T06:05:40.863887
pay_demo_0004,CUST007,ORD1004,899,FAILED,expired_card,payment,2026-08-16T18:05:40.863887
pay_demo_0005,CUST006,ORD1005,25000,FAILED,insufficient_funds,payment,2026-08-20T20:05:40.863887
pay_demo_0006,CUST001,ORD1006,2499,FAILED,network_error,payment,2026-08-20T18:05:40.863887
pay_demo_0007,CUST004,ORD1007,899,FAILED,bank_declined,payment,2026-08-18T18:05:40.863887
pay_demo_0008,CUST006,ORD1008,1499,FAILED,bank_declined,payment,2026-08-20T02:05:40.863887
pay_demo_0009,CUST005,ORD1009,899,FAILED,expired_card,payment,2026-08-20T07:05:40.863887
pay_demo_0010,CUST004,ORD1010,1499,FAILED,bank_declined,payment,2026-08-19T18:05:40.863887
pay_demo_0011,CUST004,ORD1011,4999,FAILED,abandoned_checkout,checkout,2026-08-17T01:05:40.863887
pay_demo_0012,CUST001,ORD1012,2499,FAILED,abandoned_checkout,checkout,2026-08-16T21:05:40.863887
pay_demo_0013,CUST006,ORD1013,8499,FAILED,insufficient_funds,payment,2026-08-20T01:05:40.863887
pay_demo_0014,CUST006,ORD1014,2499,FAILED,network_error,payment,2026-08-19T02:05:40.863887
pay_demo_0015,CUST008,ORD1015,1499,FAILED,insufficient_funds,payment,2026-08-19T21:05:40.863887
pay_demo_0016,CUST005,ORD1016,25000,FAILED,bank_declined,payment,2026-08-18T02:05:40.863887
pay_demo_0017,CUST007,ORD1017,4999,FAILED,insufficient_funds,payment,2026-08-20T11:05:40.863887
pay_demo_0018,CUST008,ORD1018,899,FAILED,network_error,payment,2026-08-16T14:05:40.863887
pay_demo_0019,CUST002,ORD1019,1499,FAILED,expired_card,payment,2026-08-16T23:05:40.863887
pay_demo_0020,CUST007,ORD1020,25000,FAILED,insufficient_funds,payment,2026-08-19T04:05:40.863887
pay_demo_0021,CUST008,ORD1021,18000,FAILED,insufficient_funds,payment,2026-08-18T06:05:40.863887
pay_demo_0022,CUST001,ORD1022,899,FAILED,network_error,payment,2026-08-18T08:05:40.863887
pay_demo_0023,CUST005,ORD1023,4999,FAILED,insufficient_funds,payment,2026-08-18T21:05:40.863887
pay_demo_0024,CUST003,ORD1024,12400,FAILED,insufficient_funds,payment,2026-08-17T08:05:40.863887
pay_demo_0025,CUST005,ORD1025,18000,FAILED,network_error,payment,2026-08-18T12:05:40.863887
pay_demo_0026,CUST002,ORD1026,3999,FAILED,abandoned_checkout,checkout,2026-08-18T12:05:40.863887
pay_demo_0027,CUST004,ORD1027,1499,FAILED,bank_declined,payment,2026-08-20T08:05:40.863887
pay_demo_0028,CUST001,ORD1028,25000,FAILED,bank_declined,payment,2026-08-21T02:05:40.863887
pay_demo_0029,CUST002,ORD1029,4999,FAILED,abandoned_checkout,checkout,2026-08-16T18:05:40.863887
pay_demo_0030,CUST005,ORD1030,2499,FAILED,insufficient_funds,payment,2026-08-16T12:05:40.863887
